Web Search Interest: obama
United States; Oct-Nov 2012

Interest over time
Day,obama
2012-10-01,7
2012-10-02,8
2012-10-03,12
2012-10-04,30
2012-10-05,13
2012-10-06,9
2012-10-07,8
2012-10-08,9
2012-10-09,10
2012-10-10,10
2012-10-11,9
2012-10-12,10
2012-10-13,7
2012-10-14,7
2012-10-15,8
2012-10-16,10
2012-10-17,29
2012-10-18,14
2012-10-19,14
2012-10-20,11
2012-10-21,10
2012-10-22,11
2012-10-23,26
2012-10-24,19
2012-10-25,18
2012-10-26,16
2012-10-27,12
2012-10-28,10
2012-10-29,11
2012-10-30,11
2012-10-31,13
2012-11-01,14
2012-11-02,15
2012-11-03,14
2012-11-04,16
2012-11-05,23
2012-11-06,44
2012-11-07,100
2012-11-08,30
2012-11-09,21
2012-11-10,14
2012-11-11,11
2012-11-12,9
2012-11-13,9
2012-11-14,9
2012-11-15,8
2012-11-16,7
2012-11-17,6
2012-11-18,0
2012-11-19, 
2012-11-20, 
2012-11-21, 
2012-11-22, 
2012-11-23, 
2012-11-24, 
2012-11-25, 
2012-11-26, 
2012-11-27, 
2012-11-28, 
2012-11-29, 
2012-11-30, 


Top subregions for obama
Subregion,obama
Florida,100
Ohio,99
Virginia,98
Wyoming,98
Vermont,95
New Hampshire,91
Delaware,91
District of Columbia,89
Georgia,88
New York,87
Pennsylvania,86
Maryland,86
North Carolina,86
Colorado,86
Wisconsin,84
Nevada,84
New Jersey,84
Iowa,83
Massachusetts,83
Illinois,83
West Virginia,83
South Dakota,82
California,82
Mississippi,81
Louisiana,81
Alabama,80
Michigan,79
North Dakota,79
New Mexico,78
Utah,78
Rhode Island,78
Montana,78
Texas,78
Indiana,77
Maine,77
Idaho,77
Alaska,76
Arkansas,76
Connecticut,75
Kansas,74
Missouri,73
Nebraska,73
Tennessee,73
Oklahoma,73
Kentucky,72
South Carolina,72
Washington,70
Arizona,70
Oregon,68
Minnesota,67
Hawaii,63


Top metros for obama
Metro,obama
Charlottesville,100
Montgomery,88
Wilmington,87
Erie,86
Madison,81
Gainesville,81
Columbia-Jefferson City,80
Tallahassee,78
Ft Wayne,78
Rochester-Mason City-Austin,75
Lubbock,74
La Crosse-Eau Claire,74
Reno,74
Youngstown-Warren,72
Washington,72
Rockford,71
Roanoke-Lynchburg,71
Evansville,71
Greenville-New Bern-Washington,71
Baton Rouge,71
Columbus,71
Paducah,70
Augusta,70
Springfield-Holyoke,70
Lafayette,69
Cedar Rapids-Waterloo,69
Ft Smith-Fay-Springfield,68
Palm Springs,67
Richmond-Petersburg,67
West Palm Beach,66
Davenport-Rock Island-Moline,66
Cincinnati,66
Toledo,65
Ft Myers,65
Lincoln-Hastings,65
Tyler-Longview,65
Charleston-Huntington,65
Johnstown-Altoona,65
Huntsville,65
Dayton,64
Colorado Springs,64
New York,64
Macon,64
Traverse City-Cadillac,63
Raleigh-Durham,63
Des Moines,63
Lansing,62
Norfolk-Portsmouth,62
Memphis,62
Birmingham,61
Las Vegas,61
Charleston,61
Burlington,61
South Bend,60
Shreveport,60
Greensboro,60
Santa Barbara,60
Boston,60
Cleveland,60
Syracuse,60
Miami,59
Champaign-Springfield-Decatur,59
Orlando,59
Columbus,59
Monterey-Salinas,59
Chico-Redding,59
Jackson,58
Eugene,58
Denver,58
Topeka,58
Sioux Falls,58
Lexington,58
Atlanta,58
Pittsburgh,58
Mobile,57
Wilkes Barre-Scranton,57
Savannah,57
Yakima-Pasco,57
Jacksonville,57
Tri-Cities,57
Tucson,56
Tulsa,56
Tampa,56
Columbia,56
Greenville-Spartenburg,56
Little Rock-Pine Bluff,55
El Paso,55
Peoria-Bloomington,55
Fargo-Valley City,55
Bakersfield,55
Chicago,55
Philadelphia,55
Milwaukee,55
Green Bay-Appleton,55
Boise,54
Rochester,54
Wichita,54
Springfield,54
Flint,53
Harrisburg-Lancaster-Lebanon-York,53
Harlingen,53
Los Angeles,53
Detroit,52
Hartford,52
Baltimore,52
Omaha,52
New Orleans,52
Portland-Auburn,51
Knoxville,51
Albany-Schenectady-Troy,51
Providence,51
Indianapolis,50
Albuquerque,50
Waco-Temple-Bryan,50
Salt Lake City,50
Charlotte,49
Oklahoma City,49
Chattanooga,48
San Antonio,48
Austin,48
