Web Search Interest: romney
United States; Oct-Nov 2012

Interest over time
Day,romney
2012-10-01,9
2012-10-02,10
2012-10-03,16
2012-10-04,72
2012-10-05,28
2012-10-06,18
2012-10-07,14
2012-10-08,15
2012-10-09,16
2012-10-10,17
2012-10-11,16
2012-10-12,19
2012-10-13,12
2012-10-14,11
2012-10-15,12
2012-10-16,15
2012-10-17,61
2012-10-18,30
2012-10-19,28
2012-10-20,21
2012-10-21,18
2012-10-22,19
2012-10-23,53
2012-10-24,27
2012-10-25,23
2012-10-26,22
2012-10-27,18
2012-10-28,16
2012-10-29,17
2012-10-30,19
2012-10-31,20
2012-11-01,22
2012-11-02,24
2012-11-03,23
2012-11-04,27
2012-11-05,38
2012-11-06,69
2012-11-07,100
2012-11-08,25
2012-11-09,18
2012-11-10,13
2012-11-11,11
2012-11-12,9
2012-11-13,8
2012-11-14,6
2012-11-15,7
2012-11-16,5
2012-11-17,5
2012-11-18,0
2012-11-19, 
2012-11-20, 
2012-11-21, 
2012-11-22, 
2012-11-23, 
2012-11-24, 
2012-11-25, 
2012-11-26, 
2012-11-27, 
2012-11-28, 
2012-11-29, 
2012-11-30, 


Top subregions for romney
Subregion,romney
Utah,100
Vermont,99
Virginia,95
Wyoming,93
Ohio,91
New Hampshire,90
Delaware,90
District of Columbia,85
Massachusetts,85
Florida,85
Pennsylvania,83
West Virginia,81
New York,81
Iowa,80
Rhode Island,79
Maine,77
Maryland,77
New Jersey,77
North Carolina,76
North Dakota,76
Colorado,76
Nevada,76
Idaho,76
Montana,75
California,74
Michigan,74
Wisconsin,74
Connecticut,72
South Dakota,72
New Mexico,72
Indiana,71
Illinois,70
Washington,68
Alaska,68
Arkansas,68
Georgia,67
Oregon,67
Arizona,66
Nebraska,66
Missouri,65
Kansas,65
Tennessee,64
Minnesota,64
Alabama,64
South Carolina,63
Kentucky,63
Oklahoma,63
Mississippi,62
Louisiana,62
Texas,62
Hawaii,56


Top metros for romney
Metro,romney
Gainesville,100
Youngstown-Warren,87
Wilmington,85
Charlottesville,83
Tallahassee,82
Johnstown-Altoona,80
Cedar Rapids-Waterloo,78
Springfield-Holyoke,78
Tri-Cities,77
Roanoke-Lynchburg,77
La Crosse-Eau Claire,76
Salt Lake City,73
Champaign-Springfield-Decatur,73
Des Moines,73
Washington,73
Charleston-Huntington,71
West Palm Beach,71
Columbia-Jefferson City,71
Reno,70
Colorado Springs,70
Richmond-Petersburg,69
Ft Smith-Fay-Springfield,68
Lansing,68
Ft Wayne,68
Syracuse,68
Augusta,68
Eugene,68
Evansville,67
Cincinnati,67
Portland-Auburn,67
Philadelphia,66
Norfolk-Portsmouth,65
Columbus,65
Charleston,65
Boise,65
Savannah,65
Paducah,64
Dayton,64
Greenville-New Bern-Washington,64
Boston,64
Monterey-Salinas,64
Tucson,64
Santa Barbara,63
Toledo,63
Wilkes Barre-Scranton,63
Sioux Falls,63
Madison,63
New York,63
Davenport-Rock Island-Moline,62
Providence,62
Shreveport,62
Anchorage,61
Baton Rouge,61
South Bend,61
Burlington,61
Ft Myers,60
Raleigh-Durham,60
Pittsburgh,60
Orlando,59
Springfield,59
Huntsville,59
Little Rock-Pine Bluff,59
Denver,59
Spokane,58
Greenville-Spartenburg,58
Green Bay-Appleton,58
Lincoln-Hastings,57
Columbia,57
Miami,57
Cleveland,57
Mobile,56
Albuquerque,56
Rochester,56
Lexington,56
Harrisburg-Lancaster-Lebanon-York,55
Charlotte,55
Jackson,55
Greensboro,55
Oklahoma City,55
Flint,54
Jacksonville,54
Kansas City,54
Waco-Temple-Bryan,54
Tampa,54
Albany-Schenectady-Troy,54
Baltimore,54
Peoria-Bloomington,54
San Francisco,53
Omaha,53
Detroit,53
Las Vegas,53
Chattanooga,52
Hartford,52
Birmingham,52
Wichita,52
Buffalo,51
Phoenix,51
Indianapolis,51
Milwaukee,51
Seattle-Tacoma,51
Chicago,50
Florence-Myrtle Beach,50
Tulsa,50
Grand Rapids,50
Minneapolis-St Paul,49
Memphis,49
Portland,49
Atlanta,49
Austin,49
St Louis,48
San Diego,48
Los Angeles,48
Knoxville,48
Harlingen,48
Nashville,47
New Orleans,45
San Antonio,45
Sacramento,44
Louisville,43
El Paso,43
Houston,41
Honolulu,40
Fresno,39
Dallas-Fort Worth,38
Binghamton,0
Macon,0
Erie,0
Columbus,0
Albany,0
Utica-Rome,0
Bangor,0
Traverse City-Cadillac,0
Watertown,0
Presque Isle,0
Marquette,0
Wheeling,0
Lima,0
Bluefield-Beckley-Oak Hill,0
Elmira,0
Harrisonburg,0
Salisbury,0
Terre Haute,0
Lafayette,0
Alpena,0
Zanesville,0
Parkersburg,0
Clarksburg-Weston,0
Corpus Christi,0
Joplin-Pittsburg,0
Topeka,0
Dothan,0
Rockford,0
